xorg-server-common 21.1.8-2
xorg-setxkbmap 1.3.4-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xset 1.2.5-1
xorg-xwayland 23.2.1-1
xorgproto 2023.2-1
xournalpp 1.2.1-1
xvidcore 1.3.7-2
xz 5.4.4-1
yay 12.1.3-1
zeromq 4.3.4-4
zimg 3.0.5-1
zip 3.0-10
zlib 1:1.3-1
zsh 5.9-4
zstd 1.5.5-1
